kelelahan,mual,muntah,pusing,sesak napas;penyakit jantung koroner,demam tifoid;penyakit jantung koroner;0.44117
bersendawa,mual,muntah,perih di ulu hati;maag,demam tifoid;maag;0.43824
batuk,demam,hidung tersumbat,kelelahan;hepatitis A,infeksi saluran napas akut;infeksi saluran napas akut;0.42686
demam tinggi di malam hari,kehilangan nafsu makan,mual,muntah,nyeri kepala;demam tifoid,diare akut;demam tifoid;0.41109
demam,kehilangan nafsu makan,kelelahan,nyeri kepala,pusing;anemia,hepatitis A;hepatitis A;0.43122
kelelahan,mual,muntah,nyeri dada kiri luas dan tiba-tiba,pusing,sesak napas;penyakit jantung koroner,hepatitis A;penyakit jantung koroner;0.56818
bersin-bersin,debu),dipengaruhi oleh makanan / keadaan tertentu (dingin,hidung berair,hidung tersumbat,mata berair;rintis alergi,infeksi saluran napas akut;rintis alergi;0.44468
mual,mudah merasa kenyang setelah makan makanan berukuran normal,muntah,sakit kepala;maag,migrain;maag;0.38111
kehilangan nafsu makan,lidah tertutup selaput putih kotor,mual,muntah,nyeri kepala,nyeri otot,pusing;hepatitis A,demam tifoid;demam tifoid;0.44208
kencing lebih sering pada malam hari,lemas,penglihatan kabur,penurunan berat badan;diabetes melitus,hipertensi;diabetes melitus;0.46296
bercak kecil berwarna putih keabu-abuan di mulut dan tenggorokan,bersin-bersin,demam tinggi,kelelahan;campak,infeksi saluran napas akut;campak;0.38158
bercak kecil berwarna putih keabu-abuan di mulut dan tenggorokan,kelelahan,mata berair,sensitif terhadap cahaya;campak,keratitis akut;keratitis akut;0.38752
bersendawa,mual,muntah,sakit kepala;maag,hepatitis A;maag;0.38111
hidung gatal,mata bengkak,mata berair,mata gatal;konjungtivitis/mata merah,rintis alergi;konjungtivitis/mata merah;0.35371
batuk,demam,hidung tersumbat,kelelahan,paru-paru terhambat;rinosinusitis,infeksi saluran napas akut;infeksi saluran napas akut;0.46384
bersin-bersin,kehilangan nafsu makan,kelelahan,ruam berwarna merah kecoklatan yang diawali dari sekitar telinga;campak,hepatitis A;campak;0.38158
bersin-bersin,hidung berair,kelelahan,sakit tenggorokan;campak,infeksi saluran napas akut;infeksi saluran napas akut;0.36073
batuk,demam,napas bau,sakit kepala,sakit tenggorokan;faringitis,tonsilitis/amandel;faringitis;0.54389
buang air besar lebih dari 2 kali sehari,demam,mual,muntah,sakit kepala;demam berdarah dengue,diare akut;diare akut;0.41271
bersin-bersin,demam tinggi,mata berair,sensitif terhadap cahaya;campak,keratitis akut;keratitis akut;0.38752
batuk,demam,hidung tersumbat,paru-paru terhambat,sakit tenggorokan;rinosinusitis,infeksi saluran napas akut;faringitis;0.54389
kembung,mual,muntah,riwayat makan tidak teratur/makan pedas/asam;maag,hepatitis A;maag;0.43793
kencing lebih sering pada malam hari,lemas,mudah haus,penglihatan kabur;diabetes melitus,hipertensi;diabetes melitus;0.46296
mual,muntah,nyeri otot,nyeri untuk melirik,sakit kepala;demam berdarah dengue,demam tifoid;demam berdarah dengue;0.40019
batuk,demam,nyeri wajah,tidak bisa atau kurang bisa mencium bau;rinosinusitis,faringitis;rinosinusitis;0.4283
demam,kehilangan nafsu makan,mual,sakit kepala;diare akut,tonsilitis/amandel;hepatitis A;0.40864
detak jantung tak teratur,kehilangan nafsu makan,kelelahan,pusing,sesak napas;anemia,hepatitis A;anemia;0.46403
kehilangan nafsu makan,mual,muntah,nyeri kepala,nyeri otot;demam berdarah dengue,demam tifoid;hepatitis A;0.37434
demam,kelelahan,kulit kekuningan,muntah;hepatitis A,infeksi saluran napas akut;hepatitis A;0.4583
kelelahan,mual,muntah,pusing,sesak napas;anemia,penyakit jantung koroner;penyakit jantung koroner;0.44117
bersin-bersin,kelelahan,mata merah,ruam berwarna merah kecoklatan yang diawali dari sekitar telinga;campak,infeksi saluran napas akut;campak;0.45029
mual,muntah,pusing,riwayat kolesterol tinggi / kencing manis,sesak napas;penyakit jantung koroner,demam tifoid;penyakit jantung koroner;0.525
debu),dipengaruhi oleh makanan / keadaan tertentu (dingin,mata bengkak,mata berair,mata gatal;konjungtivitis/mata merah,rintis alergi;konjungtivitis/mata merah;0.35371
diare,mual,muntah,sembelit;migrain,demam tifoid;irritable bowel syndrome;0.40289
demam,kelelahan,mual,muntah;demam berdarah dengue,hepatitis A;hepatitis A;0.40413
kehilangan nafsu makan,kelelahan,mual,pusing;campak,hepatitis A;hepatitis A;0.37434
kembung,mual,muntah,perih di ulu hati;maag,migrain;maag;0.4473
kehilangan nafsu makan,kelelahan,nyeri kepala,pusing;campak,hepatitis A;anemia;0.29136
kembung,mual,muntah,rasa asam di mulut;maag,penyakit jantung koroner;maag;0.39109
demam,kelelahan,mual,muntah;maag,hepatitis A;hepatitis A;0.40413
mual,muntah,nyeri kepala,sembelit;migrain,demam tifoid;demam tifoid;0.37837
demam,kram perut,mual,muntah;penyakit jantung koroner,diare akut;hepatitis A;0.35232
kehilangan nafsu makan,mual,muntah,nyeri kepala,nyeri otot,pusing,sembelit;hepatitis A,demam tifoid;demam tifoid;0.44208
detak jantung tak teratur,kehilangan nafsu makan,kulit pucat,pusing;anemia,demam tifoid;anemia;0.41174
kehilangan nafsu makan,mual,muntah,pusing;demam berdarah dengue,hepatitis A;hepatitis A;0.37434
demam,kehilangan nafsu makan,mual,muntah;maag,hepatitis A;hepatitis A;0.45595
demam tinggi di malam hari,mual,muntah,nyeri otot;maag,demam tifoid;demam tifoid;0.32186
mual,muntah,nyeri dada kiri luas dan tiba-tiba,pusing,sesak napas;penyakit jantung koroner,demam tifoid;penyakit jantung koroner;0.525
demam,hidung berair,kelelahan,paru-paru terhambat;hepatitis A,infeksi saluran napas akut;infeksi saluran napas akut;0.3844
kembung,mual,mudah merasa kenyang setelah makan makanan berukuran normal,muntah,sakit kepala;maag,demam berdarah dengue;maag;0.45287
demam turun pada hari keempat tanpa obat,mual,muntah,sakit kepala;demam berdarah dengue,penyakit jantung koroner;demam berdarah dengue;0.38257
demam tinggi,mual,muntah,nyeri untuk melirik;demam berdarah dengue,migrain;demam berdarah dengue;0.42515
diare,mual,muntah,nyeri kepala,nyeri otot;demam berdarah dengue,demam tifoid;demam tifoid;0.41109
bersin-bersin,hidung berair,mata berair,mata gatal;campak,rintis alergi;rintis alergi;0.40502
demam,kehilangan nafsu makan,kelelahan,mual;hepatitis A,infeksi saluran napas akut;hepatitis A;0.45595
lemas,mual,muntah,nyeri otot,sakit kepala;demam berdarah dengue,diare akut;demam berdarah dengue;0.35576
mual,muntah,nyeri otot,sakit kepala;demam berdarah dengue,migrain;demam tifoid;0.32186
kehilangan nafsu makan,mual,nyeri kepala,pusing;anemia,demam tifoid;hepatitis A;0.31994
dehidrasi,mual,muntah,sakit kepala;penyakit jantung koroner,diare akut;maag;0.31124
kehilangan nafsu makan,kelelahan,kulit kekuningan,nyeri kepala;campak,hepatitis A;hepatitis A;0.43122
lemas,mual,muntah,sakit kepala;demam berdarah dengue,hepatitis A;demam berdarah dengue;0.31132
demam,kehilangan nafsu makan,mual,nyeri kepala;varisela / cacar air,hepatitis A;hepatitis A;0.45595
demam,kehilangan nafsu makan,kelelahan,pusing;hepatitis A,infeksi saluran napas akut;hepatitis A;0.43122
batuk,demam,kelelahan,paru-paru terhambat;hepatitis A,infeksi saluran napas akut;faringitis;0.40136
demam,mual,muntah,pusing;migrain,hepatitis A;hepatitis A;0.40413
bersendawa,mual,muntah,riwayat makan tidak teratur/makan pedas/asam;maag,penyakit jantung koroner;maag;0.42872
bersendawa,mual,muntah,sakit kepala;maag,demam tifoid;maag;0.38111
kehilangan nafsu makan,kelelahan,mata berair,sensitif terhadap cahaya;campak,hepatitis A;keratitis akut;0.38752
kelelahan,mual,muntah,nyeri dada kiri luas dan tiba-tiba;migrain,penyakit jantung koroner;penyakit jantung koroner;0.41944
kehilangan nafsu makan,kulit kekuningan,mual,muntah;demam berdarah dengue,hepatitis A;hepatitis A;0.45595
batuk,bersin-bersin,hidung berair,hidung tersumbat,paru-paru terhambat;rintis alergi,infeksi saluran napas akut;infeksi saluran napas akut;0.50081
lemas,mual,muntah,nyeri untuk melirik;demam berdarah dengue,hepatitis A;demam berdarah dengue;0.35882
bersin-bersin,kelelahan,mata berair,mata merah;campak,konjungtivitis/mata merah;campak;0.38158
dipengaruhi oleh siklus menstruasi atau makanan tertentu (kopi,mual,muntah,sensitif terhadap suara;migrain,diare akut;migrain;0.47599
adanya tekanan atau stress,diare,kembung,kram perut,sakit perut;konstipasi/sembelit,irritable bowel syndrome;irritable bowel syndrome;0.57382
batuk,demam,napas bau,sakit saat menelan,sakit tenggorokan;infeksi saluran napas akut,tonsilitis/amandel;faringitis;0.54389
kelelahan,mual,muntah,sesak napas;migrain,penyakit jantung koroner;penyakit jantung koroner;0.38529
batuk,bersin-bersin,hidung berair,kelelahan;campak,infeksi saluran napas akut;infeksi saluran napas akut;0.42686
hidung berair,hidung gatal,mata berair,mata gatal;konjungtivitis/mata merah,rintis alergi;konjungtivitis/mata merah;0.35371
demam tinggi di malam hari,mual,muntah,pusing;maag,demam tifoid;demam tifoid;0.32186
demam,hidung berair,kelelahan,sakit tenggorokan;hepatitis A,infeksi saluran napas akut;faringitis;0.4195
bersin-bersin,kehilangan nafsu makan,kelelahan,mata merah;campak,hepatitis A;campak;0.38158
demam,kehilangan nafsu makan,kulit kekuningan,mual,muntah,nyeri kepala,pusing;hepatitis A,demam tifoid;hepatitis A;0.59958
kehilangan nafsu makan,mual,muntah,nyeri otot,sembelit;demam tifoid,diare akut;demam tifoid;0.35755
batuk,demam,hidung tersumbat,kelelahan,sakit tenggorokan;infeksi saluran napas akut,tonsilitis/amandel;faringitis;0.54389
feses encer,kram perut,mual,muntah;migrain,diare akut;diare akut;0.38158
kehilangan nafsu makan,lidah tertutup selaput putih kotor,nyeri otot,pusing;anemia,demam tifoid;demam tifoid;0.26161
kelelahan,mual,muntah,sesak napas;maag,penyakit jantung koroner;penyakit jantung koroner;0.38529
bercak kecil berwarna putih keabu-abuan di mulut dan tenggorokan,bersin-bersin,kehilangan nafsu makan,kelelahan;anemia,campak;campak;0.30427
batuk,bersin-bersin,kelelahan,sakit tenggorokan;campak,infeksi saluran napas akut;faringitis;0.40136
bersendawa,mual,muntah,riwayat makan tidak teratur/makan pedas/asam;maag,migrain;maag;0.42872
jarang buang air besar dari intensitas biasanya,kehilangan nafsu makan,kram perut,mengeden saat buang air besar;konstipasi/sembelit,diare akut;konstipasi/sembelit;0.48126
demam,feses encer,kehilangan nafsu makan,mual,muntah,sakit kepala;hepatitis A,diare akut;hepatitis A;0.45595
demam tinggi di malam hari,kehilangan nafsu makan,mual,muntah,pusing;demam tifoid,diare akut;hepatitis A;0.37434
buang air besar lebih dari 2 kali sehari,demam,kehilangan nafsu makan,mual,muntah;demam tifoid,diare akut;hepatitis A;0.45595
mual,muntah,rasa asam di mulut,riwayat makan tidak teratur/makan pedas/asam;maag,penyakit jantung koroner;maag;0.40108
kehilangan nafsu makan,mata berair,mata merah,sensitif terhadap cahaya;campak,keratitis akut;keratitis akut;0.38752
demam,kehilangan nafsu makan,kelelahan,kulit kekuningan,mual,muntah;hepatitis A,diare akut;hepatitis A;0.59958
bercak kecil berwarna putih keabu-abuan di mulut dan tenggorokan,bersin-bersin,kelelahan,ruam berwarna merah kecoklatan yang diawali dari sekitar telinga;campak,infeksi saluran napas akut;campak;0.38158
bersendawa,mual,muntah,rasa asam di mulut;maag,demam tifoid;maag;0.38111
lidah tertutup selaput putih kotor,mual,muntah,sembelit;maag,demam tifoid;demam tifoid;0.37837
adanya kotoran mata di pagi hari,mata berair,mata gatal,riwayat kontak positif konjungtivitis;konjungtivitis/mata merah,rintis alergi;konjungtivitis/mata merah;0.55125
buang air besar lebih dari 2 kali sehari,kehilangan nafsu makan,mual,muntah,sakit kepala;maag,diare akut;diare akut;0.37816
kembung,mual,mudah merasa kenyang setelah makan makanan berukuran normal,muntah,sakit kepala;maag,diare akut;maag;0.45287
kehilangan nafsu makan,nyeri kepala,pusing,sembelit;anemia,demam tifoid;demam tifoid;0.28554
demam tinggi di malam hari,mual,muntah,nyeri kepala;migrain,demam tifoid;demam tifoid;0.37837
demam tinggi,mual,muntah,nyeri otot,sakit kepala;demam berdarah dengue,demam tifoid;demam berdarah dengue;0.4224
bersin-bersin,demam tinggi,kelelahan,mata berair;campak,infeksi saluran napas akut;campak;0.38158
demam,kelelahan,mual,muntah;migrain,hepatitis A;hepatitis A;0.40413
mual,muntah,nyeri dada kiri luas dan tiba-tiba,riwayat kolesterol tinggi / kencing manis;demam berdarah dengue,penyakit jantung koroner;penyakit jantung koroner;0.50652
demam tinggi,mata berair,ruam berwarna merah kecoklatan yang diawali dari sekitar telinga,sensitif terhadap cahaya;campak,keratitis akut;campak;0.40631
mual,muntah,sakit kepala sebagian kiri atau kanan,sensitif terhadap suara;migrain,demam tifoid;migrain;0.52839
bersendawa,mual,mudah merasa kenyang setelah makan makanan berukuran normal,muntah;maag,demam tifoid;maag;0.40968
bercak merah dan tidak gatal pada kulit,demam turun pada hari keempat tanpa obat,mual,muntah;demam berdarah dengue,hepatitis A;demam berdarah dengue;0.42515
kencing lebih sering pada malam hari,kesemutan,lemas,penglihatan kabur;diabetes melitus,hipertensi;diabetes melitus;0.39291
bercak merah dan tidak gatal pada kulit,mual,muntah,nyeri otot;demam berdarah dengue,hepatitis A;demam berdarah dengue;0.35882
kembung,mual,muntah,sakit kepala;maag,hepatitis A;maag;0.39109
demam,hidung berair,hidung tersumbat,kelelahan;hepatitis A,infeksi saluran napas akut;infeksi saluran napas akut;0.42686
kembung,mual,muntah,perih di ulu hati;maag,hepatitis A;maag;0.4473
demam,feses encer,mual,muntah,sakit kepala;demam berdarah dengue,diare akut;diare akut;0.41271
demam tinggi di malam hari,diare,mual,sembelit;demam tifoid,irritable bowel syndrome;demam tifoid;0.4054
bercak kecil berwarna putih keabu-abuan di mulut dan tenggorokan,demam tinggi,mata berair,sensitif terhadap cahaya;campak,keratitis akut;keratitis akut;0.38752
batuk,bersin-bersin,demam,hidung tersumbat,sakit tenggorokan;infeksi saluran napas akut,tonsilitis/amandel;faringitis;0.54389
kehilangan nafsu makan,kelelahan,pusing,sesak napas;anemia,campak;anemia;0.41174
bercak kecil berwarna putih keabu-abuan di mulut dan tenggorokan,bersin-bersin,kelelahan,mata berair;campak,rintis alergi;campak;0.30427
bercak kecil berwarna putih keabu-abuan di mulut dan tenggorokan,mata berair,mata merah,sensitif terhadap cahaya;campak,keratitis akut;keratitis akut;0.38752
bersin-bersin,demam,hidung berair,hidung tersumbat,paru-paru terhambat;rintis alergi,infeksi saluran napas akut;infeksi saluran napas akut;0.50081
demam tinggi,lemas,mual,muntah,sakit kepala;demam berdarah dengue,diare akut;demam berdarah dengue;0.4224
demam tinggi,kehilangan nafsu makan,kelelahan,ruam berwarna merah kecoklatan yang diawali dari sekitar telinga;anemia,campak;campak;0.40631
demam,mual,muntah,pusing;maag,hepatitis A;hepatitis A;0.40413
mual,muntah,nyeri kepala,sembelit;maag,demam tifoid;demam tifoid;0.37837
kehilangan nafsu makan,kelelahan,kulit pucat,sesak napas;anemia,campak;anemia;0.49783
mual,muntah,nyeri dada kiri luas dan tiba-tiba,sesak napas;demam berdarah dengue,penyakit jantung koroner;penyakit jantung koroner;0.47749
bersin-bersin,hidung berair,hidung tersumbat,kelelahan;campak,infeksi saluran napas akut;infeksi saluran napas akut;0.40481
demam tinggi di malam hari,mual,muntah,sembelit;migrain,demam tifoid;demam tifoid;0.37837
batuk,demam,hidung tersumbat,keluar lendir dari hidung;rinosinusitis,tonsilitis/amandel;rinosinusitis;0.47228
kehilangan nafsu makan,kelelahan,mual,muntah;campak,hepatitis A;hepatitis A;0.37434
batuk,bersin-bersin,demam,hidung berair,sakit tenggorokan;faringitis,infeksi saluran napas akut;faringitis;0.54389
lidah tertutup selaput putih kotor,mual,muntah,nyeri otot,pusing;penyakit jantung koroner,demam tifoid;demam tifoid;0.35755
demam,mual,muntah,sakit kepala;penyakit jantung koroner,diare akut;hepatitis A;0.35232
batuk,demam,hidung tersumbat,keluar lendir dari hidung;rinosinusitis,faringitis;rinosinusitis;0.47228
