batuk,sakit tenggorokan,demam;batuk,demam,napas bau,sakit saat menelan,sakit tenggorokan;faringitis,tonsilitis/amandel;faringitis;0.54389
muntah,mual;mual,muntah,rasa asam di mulut,riwayat makan tidak teratur/makan pedas/asam;maag,penyakit jantung koroner;maag;0.40108
muntah,mual;bersendawa,mual,mudah merasa kenyang setelah makan makanan berukuran normal,muntah;maag,hepatitis A;maag;0.40968
mata berair,sensitif terhadap cahaya;mata berair,mata nyeri,penglihatan berkurang,sensitif terhadap cahaya;campak,keratitis akut;keratitis akut;0.56235
mata berair,mata merah;mata berair,mata merah,ruam berwarna merah kecoklatan yang diawali dari sekitar telinga,sensitif terhadap cahaya;campak,konjungtivitis/mata merah;keratitis akut;0.38752
muntah,mual;buang air besar lebih dari 2 kali sehari,feses encer,mual,muntah;migrain,diare akut;diare akut;0.40631
mata berair,mata gatal;adanya kotoran mata di pagi hari,mata berair,mata gatal,mata merah;konjungtivitis/mata merah,rintis alergi;konjungtivitis/mata merah;0.57212
muntah,mual,pusing;diare,kehilangan nafsu makan,mual,muntah,pusing;penyakit jantung koroner,demam tifoid;hepatitis A;0.37434
muntah,mual;mual,muntah,nyeri kepala,nyeri otot;migrain,demam tifoid;demam tifoid;0.32186
muntah,sakit kepala,mual;bercak merah dan tidak gatal pada kulit,demam turun pada hari keempat tanpa obat,mual,muntah,sakit kepala;maag,demam berdarah dengue;demam berdarah dengue;0.46224
muntah,mual;demam tinggi di malam hari,mual,muntah,sembelit;maag,demam tifoid;demam tifoid;0.37837
muntah,demam,kehilangan nafsu makan,mual;demam,kehilangan nafsu makan,kelelahan,mual,muntah,nyeri kepala;hepatitis A,diare akut;hepatitis A;0.53952
muntah,demam,kehilangan nafsu makan,mual;buang air besar lebih dari 2 kali sehari,demam,feses encer,kehilangan nafsu makan,mual,muntah;hepatitis A,diare akut;diare akut;0.51397
kelelahan,sesak napas,pusing;kehilangan nafsu makan,kelelahan,lemas,pusing,sesak napas;anemia,penyakit jantung koroner;anemia;0.52939
kram perut,sakit perut,kembung;diare,kembung,kram perut,sakit perut,sembelit;konstipasi/sembelit,irritable bowel syndrome;irritable bowel syndrome;0.57382
muntah,mual;kehilangan nafsu makan,lidah tertutup selaput putih kotor,mual,muntah;maag,demam tifoid;demam tifoid;0.32186
kehilangan nafsu makan,pusing;diare,kehilangan nafsu makan,nyeri otot,pusing;anemia,demam tifoid;demam tifoid;0.26161
muntah,mual;kelelahan,mual,muntah,sesak napas;penyakit jantung koroner,diare akut;penyakit jantung koroner;0.38529
muntah,mual;dehidrasi,mual,muntah,sakit kepala;migrain,diare akut;maag;0.31124
mata berair,sensitif terhadap cahaya;kehilangan nafsu makan,mata berair,ruam berwarna merah kecoklatan yang diawali dari sekitar telinga,sensitif terhadap cahaya;campak,keratitis akut;keratitis akut;0.38752
muntah,nyeri otot,mual;kehilangan nafsu makan,mual,muntah,nyeri otot,pusing;demam berdarah dengue,demam tifoid;hepatitis A;0.37434
batuk,demam;batuk,demam,nyeri wajah,tidak bisa atau kurang bisa mencium bau;rinosinusitis,tonsilitis/amandel;rinosinusitis;0.4283
demam,nyeri bagian telinga,gangguan pendengaran;demam,gangguan keseimbangan,gangguan pendengaran,keluar cairan berulang kali,nyeri bagian telinga;otitis media efusi,otitis media supuratif kronik;otitis media supuratif kronik;0.57328
muntah,mual;kelelahan,mual,muntah,nyeri dada kiri luas dan tiba-tiba;migrain,penyakit jantung koroner;penyakit jantung koroner;0.41944
batuk,sakit tenggorokan,demam;batuk,demam,sakit kepala,sakit saat menelan,sakit tenggorokan;faringitis,tonsilitis/amandel;faringitis;0.54389
kelelahan,kehilangan nafsu makan,pusing;kehilangan nafsu makan,kelelahan,mual,nyeri kepala,pusing;anemia,hepatitis A;hepatitis A;0.37434
mata berair,bersin-bersin;bersin-bersin,demam tinggi,kehilangan nafsu makan,mata berair;campak,rintis alergi;campak;0.38158
muntah,mual;mual,mudah merasa kenyang setelah makan makanan berukuran normal,muntah,rasa asam di mulut;maag,migrain;maag;0.46184
muntah,mual;buang air besar lebih dari 2 kali sehari,feses encer,mual,muntah;penyakit jantung koroner,diare akut;diare akut;0.40631
muntah,sakit kepala,mual;demam,kram perut,mual,muntah,sakit kepala;maag,diare akut;diare akut;0.38824
muntah,mual;mual,muntah,nyeri otot,sembelit;migrain,demam tifoid;demam tifoid;0.32186
muntah,mual,pusing;mual,muntah,pusing,riwayat kolesterol tinggi / kencing manis,sesak napas;penyakit jantung koroner,demam tifoid;penyakit jantung koroner;0.525
muntah,mual;kelelahan,mual,muntah,riwayat kolesterol tinggi / kencing manis;maag,penyakit jantung koroner;penyakit jantung koroner;0.41944
batuk,demam;batuk,demam,napas bau,sakit tenggorokan;rinosinusitis,tonsilitis/amandel;faringitis;0.54389
muntah,mual,pusing;mual,muntah,nyeri kepala,pusing,sembelit;penyakit jantung koroner,demam tifoid;demam tifoid;0.37837
muntah,mual;demam tinggi di malam hari,mual,muntah,sembelit;migrain,demam tifoid;demam tifoid;0.37837
kram perut,kehilangan nafsu makan;kehilangan nafsu makan,kram perut,mual,muntah;konstipasi/sembelit,diare akut;hepatitis A;0.31994
muntah,mual;feses encer,kram perut,mual,muntah;penyakit jantung koroner,diare akut;diare akut;0.38158
muntah,mual;mual,mudah merasa kenyang setelah makan makanan berukuran normal,muntah,perih di ulu hati;maag,migrain;maag;0.43824
kelelahan,kehilangan nafsu makan;demam,kehilangan nafsu makan,kelelahan,pusing;campak,hepatitis A;hepatitis A;0.43122
kelelahan,sesak napas,pusing;kelelahan,muntah,pusing,riwayat kolesterol tinggi / kencing manis,sesak napas;anemia,penyakit jantung koroner;penyakit jantung koroner;0.525
kelelahan,demam;demam,kelelahan,sakit tenggorokan,tubuh terasa sakit;hepatitis A,infeksi saluran napas akut;faringitis;0.4195
muntah,kehilangan nafsu makan,mual;kehilangan nafsu makan,mual,muntah,nyeri kepala,nyeri otot;demam tifoid,diare akut;hepatitis A;0.37434
kehilangan nafsu makan,pusing;diare,kehilangan nafsu makan,lidah tertutup selaput putih kotor,pusing;anemia,demam tifoid;demam tifoid;0.32314
muntah,nyeri otot,mual;bercak merah dan tidak gatal pada kulit,mual,muntah,nyeri otot,sakit kepala;demam berdarah dengue,demam tifoid;demam berdarah dengue;0.40019
mata berair,bersin-bersin;bercak kecil berwarna putih keabu-abuan di mulut dan tenggorokan,bersin-bersin,mata berair,mata merah;campak,rintis alergi;campak;0.38158
muntah,mual;kehilangan nafsu makan,mual,muntah,pusing;maag,demam tifoid;hepatitis A;0.37434
muntah,sakit kepala,mual;lemas,mual,muntah,nyeri otot,sakit kepala;demam berdarah dengue,diare akut;demam berdarah dengue;0.35576
kehilangan nafsu makan,pusing;demam tinggi di malam hari,kehilangan nafsu makan,nyeri kepala,pusing;anemia,demam tifoid;demam tifoid;0.28554
muntah,nyeri otot,mual;kehilangan nafsu makan,mual,muntah,nyeri kepala,nyeri otot;demam berdarah dengue,demam tifoid;hepatitis A;0.37434
muntah,mual;kulit kekuningan,mual,muntah,nyeri kepala;migrain,hepatitis A;hepatitis A;0.40413
muntah,mual;demam,mual,muntah,nyeri kepala;migrain,hepatitis A;hepatitis A;0.40413
muntah,mual;kulit kekuningan,mual,muntah,pusing;migrain,hepatitis A;hepatitis A;0.40413
muntah,sakit kepala,mual;bercak merah dan tidak gatal pada kulit,mual,muntah,nyeri untuk melirik,sakit kepala;demam berdarah dengue,diare akut;demam berdarah dengue;0.44155
muntah,mual,pusing;kelelahan,mual,muntah,nyeri dada kiri luas dan tiba-tiba,pusing;penyakit jantung koroner,demam tifoid;penyakit jantung koroner;0.47222
mata berair,mata gatal;kelopak mata sering menempel pada pagi hari,mata berair,mata gatal,mata merah;konjungtivitis/mata merah,rintis alergi;konjungtivitis/mata merah;0.52118
muntah,mual;kehilangan nafsu makan,mual,muntah,sembelit;maag,demam tifoid;demam tifoid;0.32186
muntah,mual;kembung,mual,mudah merasa kenyang setelah makan makanan berukuran normal,muntah;maag,demam tifoid;maag;0.4192
muntah,mual;dipengaruhi oleh siklus menstruasi atau makanan tertentu (kopi,mual,muntah,sensitif terhadap cahaya;maag,migrain;migrain;0.47599
muntah,mual;demam tinggi,lemas,mual,muntah;demam berdarah dengue,penyakit jantung koroner;demam berdarah dengue;0.38257
hidung tersumbat,hidung berair,bersin-bersin;bersin-bersin,hidung berair,hidung tersumbat,sakit tenggorokan,tubuh terasa sakit;rintis alergi,infeksi saluran napas akut;infeksi saluran napas akut;0.44321
nyeri kepala,muntah,kehilangan nafsu makan,mual,pusing;demam tinggi di malam hari,diare,kehilangan nafsu makan,mual,muntah,nyeri kepala,pusing;hepatitis A,demam tifoid;demam tifoid;0.48858
muntah,mual;bercak merah dan tidak gatal pada kulit,lemas,mual,muntah;demam berdarah dengue,penyakit jantung koroner;demam berdarah dengue;0.35882
batuk,hidung tersumbat,demam;batuk,demam,hidung berair,hidung tersumbat,paru-paru terhambat;rinosinusitis,infeksi saluran napas akut;infeksi saluran napas akut;0.5193
kram perut,kehilangan nafsu makan;jarang buang air besar dari intensitas biasanya,kehilangan nafsu makan,kram perut,sakit perut;konstipasi/sembelit,diare akut;konstipasi/sembelit;0.42518
kelelahan,kehilangan nafsu makan;kehilangan nafsu makan,kelelahan,kulit pucat,sesak napas;anemia,campak;anemia;0.49783
muntah,mual,pusing;kehilangan nafsu makan,mual,muntah,nyeri kepala,pusing;penyakit jantung koroner,demam tifoid;hepatitis A;0.37434
kehilangan nafsu makan,pusing;kehilangan nafsu makan,muntah,nyeri kepala,pusing;anemia,demam tifoid;hepatitis A;0.28902
muntah,mual;bercak merah dan tidak gatal pada kulit,demam tinggi,mual,muntah;demam berdarah dengue,hepatitis A;demam berdarah dengue;0.42515
muntah,sakit kepala,mual;kembung,mual,muntah,perih di ulu hati,sakit kepala;maag,demam berdarah dengue;maag;0.47934
muntah,nyeri otot,mual;lemas,mual,muntah,nyeri otot,nyeri untuk melirik;demam berdarah dengue,demam tifoid;demam berdarah dengue;0.40019
nyeri kepala,muntah,kehilangan nafsu makan,mual,pusing;demam tinggi di malam hari,kehilangan nafsu makan,lidah tertutup selaput putih kotor,mual,muntah,nyeri kepala,pusing;hepatitis A,demam tifoid;demam tifoid;0.48858
muntah,mual;demam tinggi,demam turun pada hari keempat tanpa obat,mual,muntah;demam berdarah dengue,hepatitis A;demam berdarah dengue;0.44644
muntah,nyeri otot,mual;demam tinggi di malam hari,kehilangan nafsu makan,mual,muntah,nyeri otot;demam berdarah dengue,demam tifoid;demam tifoid;0.35755
muntah,mual;kehilangan nafsu makan,kram perut,mual,muntah;penyakit jantung koroner,diare akut;hepatitis A;0.31994
muntah,sakit kepala,mual;lemas,mual,muntah,nyeri otot,sakit kepala;maag,demam berdarah dengue;demam berdarah dengue;0.35576
muntah,nyeri otot,mual;demam tinggi di malam hari,mual,muntah,nyeri kepala,nyeri otot;demam berdarah dengue,demam tifoid;demam tifoid;0.41109
muntah,mual;mual,mudah merasa kenyang setelah makan makanan berukuran normal,muntah,sakit kepala;maag,demam tifoid;maag;0.38111
nyeri kepala,muntah,kehilangan nafsu makan,mual,pusing;demam,kehilangan nafsu makan,kelelahan,mual,muntah,nyeri kepala,pusing;hepatitis A,demam tifoid;hepatitis A;0.53952
kelelahan,demam;demam,kelelahan,muntah,nyeri kepala;hepatitis A,infeksi saluran napas akut;hepatitis A;0.37705
muntah,kehilangan nafsu makan,mual;demam tinggi di malam hari,diare,kehilangan nafsu makan,mual,muntah;demam tifoid,diare akut;demam tifoid;0.41109
kelelahan,kehilangan nafsu makan,pusing;kehilangan nafsu makan,kelelahan,lemas,pusing,sesak napas;anemia,hepatitis A;anemia;0.52939
kehilangan nafsu makan,pusing;demam tinggi di malam hari,kehilangan nafsu makan,muntah,pusing;anemia,demam tifoid;demam tifoid;0.29237
muntah,mual,pusing;demam tinggi di malam hari,lidah tertutup selaput putih kotor,mual,muntah,pusing;penyakit jantung koroner,demam tifoid;demam tifoid;0.41109
muntah,mual;kelelahan,mual,muntah,pusing;penyakit jantung koroner,diare akut;penyakit jantung koroner;0.31699
kelelahan,kehilangan nafsu makan;demam,kehilangan nafsu makan,kelelahan,nyeri kepala;campak,hepatitis A;hepatitis A;0.43122
nyeri kepala,demam;demam,muntah,nyeri kepala,pusing;varisela / cacar air,hepatitis A;hepatitis A;0.32288
muntah,nyeri otot,mual;demam turun pada hari keempat tanpa obat,mual,muntah,nyeri otot,nyeri untuk melirik;demam berdarah dengue,demam tifoid;demam berdarah dengue;0.46224
kelelahan,kehilangan nafsu makan;bercak kecil berwarna putih keabu-abuan di mulut dan tenggorokan,bersin-bersin,kehilangan nafsu makan,kelelahan;campak,hepatitis A;campak;0.30427
muntah,kehilangan nafsu makan,mual;demam tinggi di malam hari,kehilangan nafsu makan,mual,muntah,pusing;demam tifoid,diare akut;hepatitis A;0.37434
lemas,detak jantung tak teratur,sesak napas;detak jantung tak teratur,kelelahan,lemas,pusing,sesak napas;anemia,hipertensi;anemia;0.52939
muntah,mual;kembung,mual,muntah,riwayat makan tidak teratur/makan pedas/asam;maag,penyakit jantung koroner;maag;0.43793
kehilangan nafsu makan,pusing;demam tinggi di malam hari,kehilangan nafsu makan,mual,pusing;anemia,demam tifoid;hepatitis A;0.31994
mata berair,sensitif terhadap cahaya;bercak kecil berwarna putih keabu-abuan di mulut dan tenggorokan,mata berair,mata merah,sensitif terhadap cahaya;campak,keratitis akut;keratitis akut;0.38752
muntah,mual;bersendawa,mual,muntah,rasa asam di mulut;maag,demam tifoid;maag;0.38111
muntah,mual;kulit kekuningan,mual,muntah,nyeri kepala;demam berdarah dengue,hepatitis A;hepatitis A;0.40413
muntah,mual;demam,mual,muntah,nyeri kepala;demam berdarah dengue,hepatitis A;hepatitis A;0.40413
mata berair,mata merah;kehilangan nafsu makan,kelelahan,mata berair,mata merah;campak,konjungtivitis/mata merah;konjungtivitis/mata merah;0.35371
lemas,penglihatan kabur;detak jantung tak teratur,lemas,penglihatan kabur,riwayat konsumsi obat antihipertensi;diabetes melitus,hipertensi;hipertensi;0.52699
kehilangan nafsu makan,pusing;demam tinggi di malam hari,diare,kehilangan nafsu makan,pusing;anemia,demam tifoid;demam tifoid;0.32314
muntah,mual;mual,muntah,nyeri dada kiri luas dan tiba-tiba,riwayat kolesterol tinggi / kencing manis;demam berdarah dengue,penyakit jantung koroner;penyakit jantung koroner;0.50652
muntah,sakit kepala,mual;bersendawa,mual,muntah,perih di ulu hati,sakit kepala;maag,diare akut;maag;0.47081
kelelahan,kehilangan nafsu makan,pusing;kehilangan nafsu makan,kelelahan,kulit kekuningan,nyeri kepala,pusing;anemia,hepatitis A;hepatitis A;0.43122
muntah,mual;demam tinggi,lemas,mual,muntah;demam berdarah dengue,migrain;demam berdarah dengue;0.38257
mata berair,sensitif terhadap cahaya;bercak kecil berwarna putih keabu-abuan di mulut dan tenggorokan,demam tinggi,mata berair,sensitif terhadap cahaya;campak,keratitis akut;keratitis akut;0.38752
mata berair,mata merah;bercak kecil berwarna putih keabu-abuan di mulut dan tenggorokan,mata berair,mata merah,ruam berwarna merah kecoklatan yang diawali dari sekitar telinga;campak,konjungtivitis/mata merah;campak;0.28263
muntah,mual,pusing;mual,muntah,nyeri dada kiri luas dan tiba-tiba,pusing,sesak napas;penyakit jantung koroner,demam tifoid;penyakit jantung koroner;0.525
kram perut,kehilangan nafsu makan;kehilangan nafsu makan,kram perut,mual,sakit kepala;konstipasi/sembelit,diare akut;diare akut;0.30427
muntah,mual;mual,muntah,perih di ulu hati,sakit kepala;maag,migrain;maag;0.41106
kram perut,kehilangan nafsu makan;demam,feses encer,kehilangan nafsu makan,kram perut;konstipasi/sembelit,diare akut;diare akut;0.41593
mata berair,mata merah;adanya kotoran mata di pagi hari,mata berair,mata merah,riwayat kontak positif konjungtivitis;campak,konjungtivitis/mata merah;konjungtivitis/mata merah;0.55125
muntah,mual;diare,mual,muntah,nyeri otot;maag,demam tifoid;demam tifoid;0.32186
muntah,sakit kepala,mual;buang air besar lebih dari 2 kali sehari,demam,mual,muntah,sakit kepala;maag,diare akut;diare akut;0.41271
kehilangan nafsu makan,pusing;demam tinggi di malam hari,kehilangan nafsu makan,lidah tertutup selaput putih kotor,pusing;anemia,demam tifoid;demam tifoid;0.32314
muntah,sakit kepala,mual;dehidrasi,demam,mual,muntah,sakit kepala;demam berdarah dengue,diare akut;diare akut;0.376
kelelahan,demam;demam,kehilangan nafsu makan,kelelahan,muntah;hepatitis A,infeksi saluran napas akut;hepatitis A;0.43122
muntah,sakit kepala,mual;demam tinggi,mual,muntah,nyeri otot,sakit kepala;maag,demam berdarah dengue;demam berdarah dengue;0.4224
lemas,penglihatan kabur;detak jantung tak teratur,lemas,penglihatan kabur,sakit kepala belakang;diabetes melitus,hipertensi;hipertensi;0.4653
nyeri kepala,muntah,kehilangan nafsu makan,mual,pusing;diare,kehilangan nafsu makan,lidah tertutup selaput putih kotor,mual,muntah,nyeri kepala,pusing;hepatitis A,demam tifoid;demam tifoid;0.48858
kelelahan,kehilangan nafsu makan;demam,kehilangan nafsu makan,kelelahan,muntah;campak,hepatitis A;hepatitis A;0.43122
kelelahan,kehilangan nafsu makan;kehilangan nafsu makan,kelelahan,ruam berwarna merah kecoklatan yang diawali dari sekitar telinga,sensitif terhadap cahaya;campak,hepatitis A;campak;0.3321
kelelahan,muntah,mual,pusing;kehilangan nafsu makan,kelelahan,kulit kekuningan,mual,muntah,pusing;penyakit jantung koroner,hepatitis A;hepatitis A;0.53952
muntah,mual,pusing;diare,mual,muntah,nyeri otot,pusing;penyakit jantung koroner,demam tifoid;demam tifoid;0.35755
muntah,mual;demam tinggi,mual,muntah,nyeri untuk melirik;demam berdarah dengue,migrain;demam berdarah dengue;0.42515
muntah,mual;demam tinggi di malam hari,lidah tertutup selaput putih kotor,mual,muntah;maag,demam tifoid;demam tifoid;0.37837
mata berair,bersin-bersin;bersin-bersin,debu),dipengaruhi oleh makanan / keadaan tertentu (dingin,mata bengkak,mata berair;campak,rintis alergi;rintis alergi;0.38519
kelelahan,kehilangan nafsu makan;kehilangan nafsu makan,kelelahan,mata berair,mata merah;campak,hepatitis A;konjungtivitis/mata merah;0.35371
lemas,penglihatan kabur;lemas,penglihatan kabur,sakit kepala belakang,sesak napas;diabetes melitus,hipertensi;hipertensi;0.4653
muntah,sakit kepala,mual;bercak merah dan tidak gatal pada kulit,demam tinggi,mual,muntah,sakit kepala;maag,demam berdarah dengue;demam berdarah dengue;0.46224
mata berair,bersin-bersin;bersin-bersin,kelelahan,mata berair,mata merah;campak,rintis alergi;campak;0.38158
muntah,mual;mual,muntah,sakit kepala sebagian kiri atau kanan,sensitif terhadap suara;migrain,penyakit jantung koroner;migrain;0.52839
muntah,mual;demam,feses encer,mual,muntah;penyakit jantung koroner,diare akut;diare akut;0.36921
kelelahan,kehilangan nafsu makan;kehilangan nafsu makan,kelelahan,mata merah,ruam berwarna merah kecoklatan yang diawali dari sekitar telinga;anemia,campak;campak;0.40631
muntah,mual;lemas,mual,muntah,nyeri untuk melirik;demam berdarah dengue,hepatitis A;demam berdarah dengue;0.35882
kelelahan,kehilangan nafsu makan;kehilangan nafsu makan,kelelahan,nyeri kepala,pusing;campak,hepatitis A;anemia;0.29136
mata berair,mata merah;kehilangan nafsu makan,mata berair,mata merah,ruam berwarna merah kecoklatan yang diawali dari sekitar telinga;campak,konjungtivitis/mata merah;campak;0.28263
kram perut,kehilangan nafsu makan;demam,kehilangan nafsu makan,kram perut,sakit kepala;konstipasi/sembelit,diare akut;diare akut;0.34292
muntah,nyeri otot,mual;diare,mual,muntah,nyeri otot,sembelit;demam berdarah dengue,demam tifoid;demam tifoid;0.41109
kram perut,kehilangan nafsu makan;buang air besar lebih dari 2 kali sehari,kehilangan nafsu makan,kram perut,muntah;konstipasi/sembelit,diare akut;diare akut;0.38158
mata berair,bersin-bersin;bersin-bersin,demam tinggi,mata berair,mata merah;campak,rintis alergi;campak;0.45029
muntah,mual;lidah tertutup selaput putih kotor,mual,muntah,nyeri kepala;migrain,demam tifoid;demam tifoid;0.37837
muntah,mual;mual,mudah merasa kenyang setelah makan makanan berukuran normal,muntah,perih di ulu hati;maag,hepatitis A;maag;0.43824
mata berair,bersin-bersin;bersin-bersin,kelelahan,mata berair,sensitif terhadap cahaya;campak,rintis alergi;keratitis akut;0.38752
kelelahan,demam;demam,hidung tersumbat,kelelahan,paru-paru terhambat;hepatitis A,infeksi saluran napas akut;infeksi saluran napas akut;0.36073
mata berair,mata gatal;hidung tersumbat,mata bengkak,mata berair,mata gatal;konjungtivitis/mata merah,rintis alergi;konjungtivitis/mata merah;0.35371
kelelahan,demam;demam,kelelahan,paru-paru terhambat,tubuh terasa sakit;hepatitis A,infeksi saluran napas akut;infeksi saluran napas akut;0.31337
muntah,mual;mual,muntah,pusing,riwayat kolesterol tinggi / kencing manis;demam berdarah dengue,penyakit jantung koroner;penyakit jantung koroner;0.41944
mata berair,bersin-bersin;bersin-bersin,kelelahan,mata berair,ruam berwarna merah kecoklatan yang diawali dari sekitar telinga;campak,rintis alergi;campak;0.38158
muntah,sakit kepala,mual;bercak merah dan tidak gatal pada kulit,mual,muntah,nyeri otot,sakit kepala;maag,demam berdarah dengue;demam berdarah dengue;0.40019
muntah,mual;bersendawa,kembung,mual,muntah;maag,demam tifoid;maag;0.4192
muntah,mual;kehilangan nafsu makan,mual,muntah,nyeri kepala;migrain,demam tifoid;hepatitis A;0.37434
muntah,kehilangan nafsu makan,mual;kehilangan nafsu makan,lidah tertutup selaput putih kotor,mual,muntah,nyeri kepala;demam tifoid,diare akut;demam tifoid;0.41109
kelelahan,kehilangan nafsu makan,pusing;detak jantung tak teratur,kehilangan nafsu makan,kelelahan,pusing,sesak napas;anemia,hepatitis A;anemia;0.46403
muntah,mual;mual,muntah,perih di ulu hati,sakit kepala;maag,hepatitis A;maag;0.41106
muntah,kehilangan nafsu makan,mual;kehilangan nafsu makan,mual,muntah,nyeri otot,sembelit;demam tifoid,diare akut;demam tifoid;0.35755
muntah,mual;bersendawa,kembung,mual,muntah;maag,migrain;maag;0.4192
lemas,detak jantung tak teratur,sesak napas;detak jantung tak teratur,kehilangan nafsu makan,lemas,pusing,sesak napas;anemia,hipertensi;anemia;0.44872
muntah,mual;mual,muntah,sensitif terhadap cahaya,sensitif terhadap suara;demam berdarah dengue,migrain;migrain;0.44106
muntah,nyeri otot,mual;bercak merah dan tidak gatal pada kulit,mual,muntah,nyeri otot,nyeri untuk melirik;demam berdarah dengue,demam tifoid;demam berdarah dengue;0.44155
batuk,sakit tenggorokan,demam;batuk,demam,hidung berair,sakit tenggorokan,tubuh terasa sakit;faringitis,infeksi saluran napas akut;faringitis;0.54389
kram perut,kehilangan nafsu makan;jarang buang air besar dari intensitas biasanya,kehilangan nafsu makan,kram perut,tinja keras;konstipasi/sembelit,diare akut;konstipasi/sembelit;0.45322
batuk,hidung tersumbat,demam;batuk,demam,hidung berair,hidung tersumbat,tubuh terasa sakit;rinosinusitis,infeksi saluran napas akut;infeksi saluran napas akut;0.5193
kehilangan nafsu makan,pusing;kehilangan nafsu makan,nyeri otot,pusing,sembelit;anemia,demam tifoid;demam tifoid;0.26161
mata berair,mata gatal;bersin-bersin,debu),dipengaruhi oleh makanan / keadaan tertentu (dingin,mata berair,mata gatal;konjungtivitis/mata merah,rintis alergi;rintis alergi;0.40502
kelelahan,kehilangan nafsu makan;kehilangan nafsu makan,kelelahan,mual,muntah;campak,hepatitis A;hepatitis A;0.37434
muntah,mual;bercak merah dan tidak gatal pada kulit,mual,muntah,nyeri otot;demam berdarah dengue,hepatitis A;demam berdarah dengue;0.35882
muntah,mual,pusing;demam tinggi di malam hari,kehilangan nafsu makan,mual,muntah,pusing;penyakit jantung koroner,demam tifoid;hepatitis A;0.37434
nyeri kepala,demam;demam,kelelahan,muntah,nyeri kepala;varisela / cacar air,hepatitis A;hepatitis A;0.37705
kelelahan,demam;demam,hidung berair,kelelahan,paru-paru terhambat;hepatitis A,infeksi saluran napas akut;infeksi saluran napas akut;0.3844
muntah,mual;kelelahan,mual,muntah,pusing;maag,penyakit jantung koroner;penyakit jantung koroner;0.31699
muntah,mual;kelelahan,mual,muntah,pusing;maag,hepatitis A;penyakit jantung koroner;0.31699
kelelahan,kehilangan nafsu makan;kehilangan nafsu makan,kelelahan,kulit pucat,lemas;anemia,campak;anemia;0.55907
kehilangan nafsu makan,pusing;kehilangan nafsu makan,mual,pusing,sembelit;anemia,demam tifoid;hepatitis A;0.31994
kehilangan nafsu makan,pusing;diare,kehilangan nafsu makan,pusing,sembelit;anemia,demam tifoid;irritable bowel syndrome;0.40289
muntah,nyeri otot,mual;diare,kehilangan nafsu makan,mual,muntah,nyeri otot;demam berdarah dengue,demam tifoid;demam tifoid;0.35755
kelelahan,bersin-bersin;bersin-bersin,demam tinggi,kelelahan,ruam berwarna merah kecoklatan yang diawali dari sekitar telinga;campak,infeksi saluran napas akut;campak;0.45029
muntah,sakit kepala,mual;bercak merah dan tidak gatal pada kulit,lemas,mual,muntah,sakit kepala;demam berdarah dengue,diare akut;demam berdarah dengue;0.40019
muntah,sakit kepala,mual;demam turun pada hari keempat tanpa obat,mual,muntah,nyeri otot,sakit kepala;demam berdarah dengue,diare akut;demam berdarah dengue;0.4224
batuk,demam;batuk,demam,pembengkakan kelenjar getah bening di leher,sakit saat menelan;rinosinusitis,tonsilitis/amandel;tonsilitis/amandel;0.41479
