Campak;Campak adalah infeksi virus yang ditandai dengan munculnya ruam di seluruh tubuh dan sangat menular. Penyakit ini disebabkan oleh virus dalam keluarga paramyxovirus yang biasanya ditularkan melalui kontak langsung dengan penderita atau lewat udara. Virus menginfeksi saluran pernapasan dan kemudian menyebar ke seluruh tubuh.;Campak disebabkan oleh virus jenis paramyxovirus yang menular melalui saluran pernapasan. Campak juga dapat menular apabila seseorang menghirup atau mengalami kontak langsung dengan cairan yang terinfeksi virus.;Istirahat yang cukup, menghindari cahaya, meningkatkan asupan cairan dan nutrisi, mengkonsumsi makanan yang mengandung vitamin A. Melakukan pemeriksaan ke dokter untuk mendapatkan pengobatan yang lebih baik dan sesuai dengan keluhan yag dirasakan.;Melakukan imunisasi vaksin khusus campak atau vaksin MMR;Komplikasi yang dapat terjadi adalah otitis media dan pneumonia
Hipertensi;Hipertensi adalah nama lain dari tekanan darah tinggi adalah peningkatan tekanan darah lebih tinggi dari 140/90 mmHg;Penyebab hipertensi adalah gaya hidup dan pola makan yang buruk;Mengubah gaya hidup sehat, penurunan berat badan, penurunan asupan garam, berolahraga secara teratur, mengurangi konsumsi alkohol. Lakukan pemeriksaan ke dokter untuk mendapatkan pengobatan lebih lanjut;Menjaga berat badan ideal, Berolahraga secara rutin, konsumsi makanan yang rendah lemak dan kaya serat, kurangi garam, kurangi konsumsi alkohol, berhenti merokok, mengurangi konsumsi kafein;Hipertensi dapat menyebabkan stroke, gagal ginjal, gagal jantung, kehilangan penglihatan
Anemia;Anemia adalah suatu kondisi ketika tubuh kekurangan sel darah yang mengandung hemoglobin untuk menyebarkan oksigen ke seluruh organ tubuh;Penyebab anemia adalah pendarahan, kekurangan zat besi, kekurangan vitamin, tubuh tidak cukup memproduksi sel darah merah;Penanganan pertama yang bisa dilakukan adalah mengonsumsi makanan yang mengandung zat besi dan mengonsumsi vitamin. Untuk penanganan anemia lebih lanjut bisa di konsultasikan dengan dokter untuk mendapat penanganan lebih lanjut.;Pencegahan anemia bisa dilakukan dengan makan makanan yang kaya akan zat besi, asam folat, vitamin B12 dan vitamin C;Anemia bisa menyebabkan komplikasi seperti kelelahan berat, rentan terkena infeksi, gangguan jantung dan kematian
Hepatitis A;Hepatitis A merupakan penyakit yang disebabkan oleh virus hepatitis tipe A dan menyerang sel-sel hati manusia;Sanitasi yang buruk, kurangnya ketersediaan air bersih, mengonsumsi makanan mentah, kontak langsung dengan pengidap, memakai dan berbagi jarum suntik, bekerja di area yang berhubungan dengan kotoran.;Anda perlu melakukan pemeriksaan lebih lanjut ke dokter . ;Selalu mencuci tangan dengan sabun dan air bersih, jangan saling meminjamkan peralatan makan, jangan berbagi barang-barang pribadi seperti sikat gigi atau handuk, selalu memasak makanan sampai matang dan merebus air sampai mendidih, Hindari konsumsi makanan mentah yang berasal dari perairan yang terkontaminasi, misalnya tiram.;Hepatitis A dapat menyebabkan komplikasi gagal hati
Demam Berdarah Dengue;Demam berdarah dengue (DBD) adalah penyakit yang disebabkan oleh virus dengue yang dibawa oleh nyamuk. Demam berdarah DBD dulu disebut penyakit “break-bone” karena kadang menyebabkan nyeri sendi dan otot di mana tulang terasa retak.;Penyakit demam dengue disebabkan oleh virus dengue yang ditularkan kepada manusia melalui perantara nyamuk Aedes aegypti dan Aedes albopictus yang umumnya menggigit di pagi hari sampai sore hari menjelang petang. ;Pertolongan pertama yang bisa diberikan adalah banyak beristirahat, minum banyak cairan untuk mencegah dehidrasi, mengonsumsi paracetamol dan acetaminophen untuk meredakan demam dan nyeri, berhenti menjalani akticita untuk sementara waktu. Sebaiknya menghubungi dokter untuk mendapatkan perawatan lebih lanjut dan melakukan uji laboratorium;Mensterilkan ruangan rumah dengan pembasmi serangga, Membersihkan bak mandi dan menaburkan serbuk abate, Memasang kelambu di ranjang tidur, Memakai losion antinyamuk;Apabila DBD terlambat ditangani, maka bisa berkembang menjadi dengue shock syndrome yang mana tekanan darah menurun secara drastis dan pendarahan menjadi makin berat.
Demam Tifoid;Demam tifoid atau tifus adalah penyakit infeksi akut yang terjadi pada saluran pencernaan manusia (terutama usus halus) yang disebabkan oleh bakteri Salmonella typhi. Tifus dapat menular dengan cepat. Infeksi demam tifoid terjadi ketika seseorang mengonsumsi makanan atau minuman yang telah terkontaminasi sejumlah kecil tinja yang mengandung bakteri.;Penyebab tifus adalah Salmonella typhi masuk ke usus melalui makanan atau minuman yang terkontaminasi untuk kemudian berkembang biak di dalam saluran cerna. ;Istirahat cukup, makan makanan lunak dan tidak berserat, minum banyak air putih, menjaga kebersihan, minum antibiotik yang dianjurkan oleh dokter. Untuk menentukan antibiotik yang cocok sebaiknya menghubungi dokter dan melakukan uji laboratorium;Melakukan vaksinasi tifus dan memjaga kebersihan dimanapun berada;
Penyakit Jantung Koroner;Penyakit jantung atau dalam istilah medis disebut penyakit jantung koroner adalah kondisi yang terjadi ketika pembuluh darah utama yang menyuplai darah ke jantung (pembuluh darah koroner) mengalami kerusakan. Tumpukan kolesterol pada pembuluh darah serta proses peradangan diduga menjadi penyebab penyakit ini.Ketika terjadi penumpukan kolesterol (plak), pembuluh darah koroner akan menyempit sehingga aliran darah dan suplai oksigen menuju jantung pun akan terhambat. Kurangnya aliran darah ini akan menyebabkan rasa nyeri pada dada (angina) dan sesak napas, hingga suatu saat terjadi hambatan total pada aliran darah menuju jantung atau yang disebut juga dengan serangan jantung.;Penyebab utama penyakit jantung koroner adalah penimbunan lemak dalam arteri. Selain itu kebiasaan merokok, pola hidup tidak sehat, kadar kolesterol tinggi, hipertensi, diabetes, kelebihan berat badan, riwayat kesehatan keluarga dan faktor usia juga merupakan salah satu faktor penyebab penyakit jantung koroner;Mengubah pola hidup sehat dan melakukan pemeriksaan Elektrokardiografi (EKG).;Berhenti merokok, menerapkan pola hidup sehat, mengontrol tekanan darah tinggi, mengontrol kadar gula darah, menjaga kadar kolesterol;
Diabetes Melitus;Diabetes mellitus adalah penyakit yang disebabkan oleh tingginya kadar gula dalam darah akibat gangguan sekresi insulin, kerja insulin, atau keduanya. ;Keturunan, Pola makan tidak sehat, kegemukan, usia, jenis kelamin, infeksi pada kelenjar pankreas, kurang berolahraga;Menjaga pola hidup sehat, olahraga secara teratur dan melakukan konsultasi ke dokter untuk melakukan uji laboratorium Gula Darah Puasa (GDP);Menghindari makanan yang banyak mengandung glukosa, rajin berolahraga, mengontrol berat badan, melakukan pengecekan kadar gula darah;Penderita diabetes melitus berdampak pada komplikasi yaitu penyakit gusi dan infeksi, masalah penglihatan, neuropati atau kerusakan saraf yang dapat menyebabkan rasa sakit atau mati rasa di tangan dan kaki, masalah peredaran darah yang akhirnya dapat menyebabkan amputasi kaki, penyakit jantung, masalah ginjal, tekanan darah tinggi
Tuberkulosis;Tuberkulosis adalah penyakit saluran nafas yang disebabkan oleh Mycobacterium Tuberculosis. Penyakit ini ditularkan dari penderita TB aktif yang batuk dan mengeluarkan titik-titik kecil air liur dan terinhalasi oleh orang sehat yang tidak memiliki kekebalan tubuh terhadap penyakit ini. TBC biasanya menyerang paru-paru, namun bisa juga menyebar ke tulang, kelenjar getah bening, sistem saraf pusat, jantung, dan organ lainnya;sistem kekebalan tubuh yang lemah, seperti pengidap HIV/AIDS, diabetes, atau orang yang sedang menjalani kemoterapi, malnutrisi atau kekurangan gizi, merokok, penggunaan narkoba atau obat terlarang, kontak langsung dengan penderita tuberculosis;Melakukan pemeriksaan ke dokter untuk mendapatkan obat dan perawatan yang sesuai;Melakukan imunisasi BCG (Bacillus Calmette-Guerin) yang diberikan sebelum bayi berusia 2 bulan, menggunakan masker saat berada di tempat ramai, mencuci tangan teratur;
Artritis Gout/Asam Urat;Gout adalah sejenis sakit sendi atau arthritis yang ditandai dengan pembengkakan pada sendi akibat kadar asam urat berlebih dalam tubuh. Kondisi ini sering menyebabkan pembengkakan besar dan menimbulkan rasa sakit yang menyiksa, dan terkadang bahkan tidak tertahankan, serta dapat berlangsung selama beberapa hari hingga berminggu-minggu;Penyebab utama Gout adalah penumpukan asam urat dalam tubuh. Asam urat adalah hasil penguraian protein purina yang ditemukan dalam berbagai macam makanan seperti kacang merah, hati, daging merah, dan kacang polong, pengaruh obat yang mengandung kadar asam urat dalam jumlah besar, kelebihan berat badan, konsumsi alkohol secara berlebihan, keadaan medis tertentu termasuk tekanan darah tinggi;Mengompres dengan air dingin, mengurangi berat badan hingga mencapai berat badan ideal, mengistirahatkan sendi yang terkena, pengaturan diet rendah purin, menghindari obat - obatan yang mengakibatkan hiperurisemia, dan menguhubungi dokter agar didiagnosis dengan benar sebelum menjalani bentuk perawatan tertentu karena gout memiliki gejala yang sama dengan penyakit sendi lainnya;Beberapa faktor penyebab Artritis Gout sendiri dapat dihindari yaitu menghindari alkohol, menghindari makanan kaya protein, menjaga berat badan ideal;
Bell's Palsy;Bells palsy adalah kelumpuhan wajah akibat peradangan dan pembengkakan saraf perifer yang mengontrol otot pada salah satu sisi wajah, yang menyebabkan perubahan bentuk pada salah satu sisi wajah. Saraf perifer berfungsi untuk menggerakkan wajah seperti tersenyum di satu sisi saja, seperti saat mencibir, atau bahkan mengedipkan sebelah mata. Bell’s palsy lebih umum terjadi pada wanita hamil, penderita diabetes, dan HIV.;Bell’s palsy disebabkan oleh saraf yang mengendalikan otot atau saraf wajah yang mengalami peradangan atau terhimpit. Dari otak, saraf wajah melewati celah sempit di dekat rahang bagian atas. Ketika saraf wajah ini terhimpit atau mengalami peradangan, sinyal yang dikirimkan otak menuju ke otot wajah akan terganggu. Gangguan inilah yang menghambat pasokan darah dan oksigen menuju ke sel-sel saraf, akibatnya terjadi kelemahan atau kelumpuhan pada wajah. Penyebab iritasi saraf ini masih belum diketahui secara jelas, namun virus herpes simpleks tipe I dan herpes zoster memiliki hubungan dengan penyakit bell's palsy;Jika ada seseorang mengalami kelumpuhan wajah secara tiba-tiba, sebaiknya segera dibawa ke rumah sakit bagian IGD yang terdekat. Menurut studi, pengobatan Bell’s palsy akan sangat efektif jika dilakukan dalam 3 hari pertama setelah gejala awal muncul. Teknik relaksasi dan akupuntur bisa membantu mempercepat pemulihan dari kondisi Bell’s palsy dan mengembalikan fungsi saraf wajah.;;Bell's palsy akan menyebabkan komplikasi dalam jangka panjang akan menyebabkan kelemahan wajah, gangguan bicara, mata kering dan ulkus kornea, indera perasa berkurang, kontraktur wajah
Cluster Type Headache;Cluster Type Headache adalah nyeri kepala hebat, rasa sakit yang terasa jauh di dalam kepala atau di sekitar mata pada satu sisi kepala. Rasa sakit sering pindah ke bagian dahi, pelipis, dan pipi.;Cuaca panas, Stres, Suhu ekstrim, konsumsi alkohol;Beristirahat ketika sakit kepala menyerang, minum obat-obatan yang sudah disarankan oleh dokter. Jika tidak kunjung reda, segera periksakan ke dokter untuk mendapatkan pemeriksaan lebih lanjut;;
Migren;Migrain adalah nyeri kepala sedang hingga parah yang terasa berdenyut yang umumnya hanya mengenai sebelah sisi kepala saja. Pada beberapa kasus, dikaitkan dengan adanya tanda - tanda sebelum ;Stres, kelebihan atau kekurangan tidur, obat - obatan (esterogen, nitrogliserin), perubahan hormon, penghentian kafein, coklat, tiramin, dan nitrit;Berbaring di dalam kamar gelap, hindari pencetus nyeri seperti makanan, cahaya terang, stres, dan mengkonsumsi obat-obatan yang mengandung ibuprofen bagi orang dewasa untuk meredakan nyeri. Jika sakit kepala tidak kunjung sembuh, silahkan periksakan ke dokter saraf untuk mendapatkan pemeriksaan lebih lanjut;Menjaga pola tidur yang cuckup, menghindari pemicu sakit kepala, tidak melakukan olahraga pada saat cuaca panas;
Tension Type Headache;Tension Type Headache adalah nyeri kepala yang bersifat episodik maupun kronis, yang bersifat jarang, berlangsung selama beberapa menit atau beberapa hari. Tension Type Headache merupakan sakit kepala pada seseorang yang umumnya terhubung dengan peningkatan stres. ;stres, depresi, kekhawatiran, bunyi, kelaparan, kekurangan tidur, kurang berolahraga;Beristirahat yang cukup, makan secara teratur, menggunakan obat yang mengandung analgesik sesuai aturan atau resep dokter. Jika rasa sakit yang tidak kunjung sembuh segera periksa ke dokter;Menjaga pola makan yang sehat dan teratur, berolahraga secara teratur, Menghindari faktor pemicu ;
Otitis Eksterna;Otitis eksterna adalah peradangan pada daun telinga atau liang telinga, yaitu saluran dari lubang telinga sampai gendang. Peradangan tersebut paling sering terjadi karena air masuk ke telinga dan tidak dikeringkan, sehingga membentuk lingkungan lembab dan asam yang mendukung bakteri atau jamur untuk tumbuh dan berkembang;Otitis eksterna umumnya disebabkan oleh infeksi bakteri Staphylococcus aureus atau Pseudomonas aeruginosa. Kondisi ini terjadi ketika air atau debu merusak lapisan kulit di liang telinga. Lapisan kulit ini berfungsi mencegah bakteri atau jamur menempel pada liang telinga dan menjaga liang telinga agar tidak terlalu lembab. Rusaknya lapisan kulit ini bisa menyebabkan bakteri atau jamur menempel pada liang telinga dan menyebabkan infeksi.;Berikan obat tetes telinga atau salep, minumlah obat pereda rasa sakit seperti paracetamol atau ibuprofen. Jika tidak kunjung sembuh, silahkan periksakan ke dokter untuk mendapatkan pengobatan yang sesuai;Gunakan pelindung telinga saat mandi atau berenang, agar air tidak masuk ke dalam telinga, Meringkan bagian dalam telinga segera setelah mandi dan berenang, Jangan memasukkan objek yang bisa menyebabkan lapisan liang telinga luka atau tergores, karena bisa menimbulkan infeksi,Jangan gunakan korek kuping untuk membersihkan liang telinga, karena akan mendorong kotoran masuk semakin dalam dan bisa menyebabkan masalah yang lebih buruk.;
Otitis Media Akut;Otitis media akut adalah infeksi pada telinga bagian tengah, saluran eustachius. Otitis media akut sering dijumpai pada anak-anak. Biasanya anak mengeluhkan nyeri disertai penurunan pendegaran.;Penyebab dari otitis media akut adalah bakteri dan virus. Kondisi ini akan menyebabkan terjadinya penimbunan mukosa atau lendir di telinga tengah dan mengganggu fungsi penyampaian suara ke telinga bagian dalam. Tuba Eustachius adalah saluran yang berfungsi untuk menyalurkan udara ke dalam telinga bagian tengah. Pada anak-anak, saluran ini ukurannya lebih sempit dibandingkan dengan yang ada pada orang dewasa. Karena itulah anak-anak lebih rentan terkena otitis media akut;Sebagian besar kasus otitis media tidak memerlukan penanganan dokter. Kondisi ini akan pulih dengan sendirinya dalam beberapa hari. Pengobatan yang akan diberikan berguna untuk meredakan rasa sakit dan demam yang mungkin dialami. Contoh obat yang biasanya diberikan adalah paracetamol dan ibuprofen. Penanganan medis dibutuhkan apabila penderita otitis media mengalami gejala yang tidak membaik dalam waktu tiga hari, merasakan nyeri hebat pada bagian telinga, mengeluarkan nanah atau cairan dari telinga, memiliki kondisi bawaan, seperti cystic fibrosis atau penyakit jantung bawaan, yang membuat risiko terjadinya komplikasi meningkat;Jauhkan anak-anak dari lingkungan yang penuh asap atau berada di lingkungan perokok. Lengkapi vaksinasi pada anak-anak sesuai jadwal, terutama vaksin pneumokokus dan vaksin DTP/IPV/Hib. Utamakan pemberian ASI, bukan susu formula. Menghindari kontak langsung dengan anak-anak yang sedang sakit atau terserang infeksi. Jangan memberi makan pada anak saat mereka berbaring. Setelah anak berusia 6-12 bulan, jangan memberikan dot pada mereka.;Apabila tidak diobati dengan cepat dan tepat, Otitis Media Akut dapat berkembang menjadi Otitis Media Supuratif Kronik (OMSK) dengan robekan gendang telinga menetap yang disertai nanah yang keluar terus menerus atau hilang timbul.
Otitis Media Efusi;Otitis media efusi adalah peradangan di telinga tengah dengan pengumpulan cairan di rongga telinga tengah, yaitu di belakang gendang telinga. ;;Penderita Otitis Media Efusi dapat sembuh secara alamiah tanpa pengobatan medis. Biasanya diberikan obat antihistamin atau antibiotik untuk membersihkan sekresi atau cairan yang menyumbat didalam telinga. Pemeriksaan ke dokter akan lebih baik dilakukan jika gejala tidak kunjung sembuh dan semakin parah;;
Otitis Media Supuratif Kronik;Otitis media supuratif kronik adalah infeksi kronik di telinga tengah dengan perforasi membran timpani dan sekret yang keluar dari telinga tengah terus-menerus atau hilang timbul selama lebih dari 12 minggu. Sekret dapat encer atau kental, bening atau berupa nanah. ;;Membersihkan liang telinga dan kavum timpani, memberikan obat tetes telingan dan antibiotik. Jika tidak kunjung sembuh dan semakin parah segera periksakan ke dokter untuk penanganan lebih lanjut;rajin membersihkan telinga;
